id,recipeId,ingredientName,quantityUsed,unitType,unitCost,updatedAt,inventoryId
8867,9,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8868,9,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8869,9,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8870,9,Tea Concentrate,2,Per Cup,0.06,2026-04-03 13:42:21.669548,
8871,9,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8872,9,Sugar Free Simple Syrup,6,Per Oz,0.13,2026-04-03 13:42:21.669548,
3869,270,Straw,1,Per Cup,0.01,2026-04-02 22:25:37.258653,
3870,270,Straw,1,Per Cup,0.01,2026-04-02 22:25:37.258653,
3871,270,Ingredient Name,1,Unit Type,0,2026-04-02 22:25:37.258653,
8884,11,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8885,11,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8886,11,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8887,11,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8888,11,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8889,11,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8890,11,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8891,11,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8892,11,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,
8893,11,Sweetened Condensed Milk,1,Per Oz,0.14,2026-04-03 13:42:21.669548,
8894,11,French Vanilla,0.25,Per OZ,0.29,2026-04-03 13:42:21.669548,
8895,12,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8896,12,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8897,12,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8898,12,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8899,12,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8900,12,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8901,12,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8902,12,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8903,12,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,
8904,12,Sweetened Condensed Milk,1,Per Oz,0.14,2026-04-03 13:42:21.669548,
8905,12,French Vanilla,0.25,Per OZ,0.29,2026-04-03 13:42:21.669548,
8906,13,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8907,13,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8908,13,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8909,13,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8910,13,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8911,13,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8912,13,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8913,13,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8914,13,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8915,13,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,
8916,13,Sweetened Condensed Milk,1,Per Oz,0.14,2026-04-03 13:42:21.669548,
8917,13,French Vanilla,0.25,Per OZ,0.29,2026-04-03 13:42:21.669548,
8918,14,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8919,14,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8920,14,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8921,14,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8922,14,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8923,14,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8924,14,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8925,14,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8926,14,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,
8927,14,Blue Raspberry,0.75,Per Oz,0.29,2026-04-03 13:42:21.669548,
8928,15,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8929,15,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8930,15,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
7323,136,Straw,1,Per Cup,0.01,2026-04-02 23:11:11.337398,
7324,136,Cup & Lid,1,Per Cup,0.21,2026-04-02 23:11:11.337398,
7325,136,Sticker (Logo),1,Per Cup,0.05,2026-04-02 23:11:11.337398,
8931,15,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8932,15,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8933,15,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8934,15,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8935,15,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8936,15,Sugar Free Simple Syrup,4,Per Oz,0.13,2026-04-03 13:42:21.669548,
8937,15,Sugar Free Coconut,1,Per Oz,0.29,2026-04-03 13:42:21.669548,
8938,16,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8939,16,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8940,16,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8941,16,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8942,16,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8943,16,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8944,16,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8945,16,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8946,16,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,
8947,16,Blue Raspberry,0.75,Per Oz,0.29,2026-04-03 13:42:21.669548,
8948,17,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8949,17,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8950,17,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8951,17,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8952,17,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8953,17,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8954,17,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8955,17,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8956,17,Sugar Fee Simple Syrup,4,Per Oz,0.13,2026-04-03 13:42:21.669548,
8957,17,Sugar Free Coconut,1,Per Oz,0.29,2026-04-03 13:42:21.669548,
8958,18,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8959,18,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8960,18,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8961,18,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8962,18,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8963,18,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8964,18,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8965,18,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8966,18,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8967,18,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,
8968,18,Blue Raspberry,0.75,Per Oz,0.29,2026-04-03 13:42:21.669548,
8969,19,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8970,19,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8971,19,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8972,19,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8973,19,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8974,19,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8975,19,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8976,19,Lemon,1,Per Cup,0.28,2026-04-03 13:42:21.669548,
8977,19,Lime,1,Per Cup,0.22,2026-04-03 13:42:21.669548,
8978,19,Sugar Free Simple Syrup,4,Per Oz,0.13,2026-04-03 13:42:21.669548,
8979,19,Sugar Free Coconut,1,Per Oz,0.29,2026-04-03 13:42:21.669548,
8980,20,Straw,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8981,20,Cup & Lid,1,Per Cup,0.21,2026-04-03 13:42:21.669548,
8982,20,Sticker (Logo),1,Per Cup,0.05,2026-04-03 13:42:21.669548,
8983,20,Sticker Printer,1,Per Cup,0.01,2026-04-03 13:42:21.669548,
8984,20,Cup Labor,1,Per Cup,0.06,2026-04-03 13:42:21.669548,
8985,20,Ice,1,per lb,0.19,2026-04-03 13:42:21.669548,
8986,20,Water,2,per cup (8oz),0.03,2026-04-03 13:42:21.669548,
8987,20,Lime,2,Per Cup,0.22,2026-04-03 13:42:21.669548,
8988,20,Simple Syrup,2,Per Oz,0.03,2026-04-03 13:42:21.669548,
8989,20,Sweetened Condensed Milk,2,Per Oz,0.14,2026-04-03 13:42:21.669548,
